PackageName
shiny
shinyBS
shinydashboard
shinyjs
caret
plyr
dplyr
tidyr
Cairo
raster
gstat
wesanderson
nnet
randomForest
kernlab
klaR
vcd
e1071
gam
ipred
MASS
ellipse
mda
mgcv
mlbench
party
MLmetrics
Cubist
testthat
